time,test 1,test 2,test 3,test 4,test 5
time - seconds (computed after test),deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg
0.003175,-0.099089466,-0.518547289,-0.728688129,-0.743638668,-0.201188257
0.003176,-0.257647066,-0.538837289,-0.734310129,-0.780780668,-0.273600257
0.003177,-0.439925866,-0.543517289,-0.891618129,-0.828849668,-0.405939457
0.003178,-0.526069866,-0.607502289,-1.138818129,-0.896574668,-0.538278657
0.003179,-0.471137866,-0.729232289,-1.324218129,-0.935907668,-0.630666657
0.00318,-0.373757866,-0.849397289,-1.395378129,-0.940275668,-0.673114657
0.003181,-0.296349866,-0.900897289,-1.380396129,-0.962122668,-0.698084257
0.003182,-0.267634666,-0.872807289,-1.326090129,-1.093211668,-0.760508257
0.003183,-0.236422666,-0.819747289,-1.303614129,-1.333549668,-0.850398657
0.003184,-0.091598666,-0.821307289,-1.371036129,-1.532370668,-0.882862657
0.003185,0.156849334,-0.924307289,-1.466544129,-1.523627668,-0.892846657
0.003186,0.320400934,-1.050717289,-1.412232129,-1.289848668,-0.957766657
0.003187,0.238000934,-1.025747289,-1.172526129,-0.992712668,-1.047662657
0.003188,-0.020435066,-0.844717289,-0.886002129,-0.748006668,-1.060142657
0.003189,-0.221441066,-0.593457289,-0.745542129,-0.584144368,-0.955270657
0.00319,-0.245162266,-0.346883289,-0.700602129,-0.496750768,-0.845406657
0.003191,-0.192725866,-0.122156289,-0.535799529,-0.424650768,-0.792969057
0.003192,-0.121562266,0.066676711,-0.125673129,-0.326332968,-0.750520257
0.003193,-0.036665466,0.177479711,0.408053871,-0.155915168,-0.638157057
0.003194,0.078194934,0.186843211,0.814433871,0.027612092,-0.385963457
0.003195,0.149358534,0.154070711,1.044779871,0.053830242,-0.016412577
0.003196,0.183067734,0.150949211,1.239545871,-0.153729768,0.333162943
0.003197,0.185564534,0.186843211,1.404341871,-0.367845068,0.512944543
0.003198,0.170582934,0.204010211,1.451159871,-0.287005568,0.505453343
0.003199,0.216776534,0.161873711,1.318199871,0.156517932,0.393090143
0.0032,0.274206934,0.158752211,1.110323871,0.731135332,0.223296543
0.003201,0.284194534,0.297646211,0.930545871,1.165919332,-0.008921657
0.003202,0.297928134,0.545782711,0.868745871,1.318855332,-0.251127457
0.003203,0.385321734,0.800162711,0.915563871,1.248939332,-0.408436257
0.003204,0.500182134,0.981192711,0.915563871,1.067597332,-0.458375457
0.003205,0.565102134,1.001477711,0.812561871,0.875335332,-0.408436257
0.003206,0.495190134,0.889112711,0.737651871,0.693989832,-0.253624257
0.003207,0.218024934,0.729932711,0.801323871,0.517017232,-0.033891297
0.003208,-0.074119866,0.550462711,0.926795871,0.423068832,0.150884543
0.003209,-0.161513866,0.385040211,0.996089871,0.357523632,0.290714143
0.00321,-0.084107866,0.277358211,0.939905871,0.311642132,0.338156543
0.003211,-0.080362266,0.219616211,0.771359871,0.307272032,0.265744543
0.003212,-0.220192666,0.213373711,0.627161871,0.427438932,0.108435743
0.003213,-0.316325866,0.225858211,0.610307871,0.676511532,0.006060143
0.003214,-0.282616666,0.272676711,0.658997871,0.901550332,0.093454143
0.003215,-0.452409866,0.416252211,0.578471871,0.905918332,0.273235743
0.003216,-1.352565866,0.567632711,0.243253671,0.691805132,0.400580543
0.003217,-1.097877866,0.578552711,-0.187473129,0.414330032,0.453017343
0.003218,0.098170534,0.450585211,-0.387854529,0.202399432,0.527926143
0.003219,0.905938134,0.292964211,-0.357890529,0.097526832,0.642786943
0.00322,0.889710134,0.157191711,-0.267999729,0.130300132,0.715198943
0.003221,0.545126134,0.046388961,-0.189345729,0.215509032,0.650277343
0.003222,0.359103734,-0.051929289,-0.099454929,0.163072732,0.455514143
0.003223,0.359103734,-0.214231789,0.012908691,-0.107848268,0.243271743
0.003224,0.292934134,-0.456125289,0.138381471,-0.442129768,0.063490383
0.003225,-0.007950266,-0.629352289,0.230144871,-0.673723368,-0.121285057
0.003226,-0.488617866,-0.704262289,0.190817271,-0.756749668,-0.261115457
0.003227,-0.824457866,-0.730792289,0.014781411,-0.664983868,-0.318545857
0.003228,-0.778265866,-0.699577289,-0.166872729,-0.380953968,-0.296073057
0.003229,-0.518581866,-0.512307289,-0.196836729,-0.096924068,-0.151249057
0.00323,-0.363767866,-0.207989289,-0.060127329,0.049460562,0.051005503
0.003231,-0.436181866,0.068237211,0.072835671,0.121560632,0.095950943
0.003232,-0.612217866,0.253949211,0.067217871,0.158702632,-0.058860977
0.003233,-0.749549866,0.275797711,-0.086345529,0.145593732,-0.278593857
0.003234,-0.773269866,0.052631211,-0.333545529,0.132484832,-0.395951457
0.003235,-0.710845866,-0.243883289,-0.513327129,0.291978432,-0.301066657
0.003236,-0.509841866,-0.393701289,-0.597600129,0.551975232,-0.058860977
0.003237,-0.330059066,-0.374974289,-0.595726929,0.652477732,0.195829343
0.003238,-0.323816666,-0.314110789,-0.552654129,0.512647832,0.335659743
0.003239,-0.457405866,-0.293822789,-0.603216129,0.254835732,0.295708543
0.00324,-0.491113866,-0.329716789,-0.816708129,0.025427252,0.123417343
0.003241,-0.258895466,-0.412428789,-1.092000129,-0.228015168,0.011054063
0.003242,0.036995054,-0.526352289,-1.239942129,-0.479271768,0.058496463
0.003243,0.183067734,-0.712062289,-1.251180129,-0.614732268,0.183344543
0.003244,0.163091734,-0.988292289,-1.170654129,-0.671538668,0.305695743
0.003245,-0.005453386,-1.267637289,-1.075146129,-0.855064668,0.275732543
0.003246,-0.312580266,-1.426822289,-1.056414129,-1.200269668,0.026035903
0.003247,-0.597233866,-1.412777289,-1.204362129,-1.488669668,-0.326036257
0.003248,-0.697113866,-1.342547289,-1.399128129,-1.560769668,-0.678108257
